session_id,user_id,anonymous_id,session_start,session_end,session_duration_seconds,events_count,product_views,add_to_cart_count,remove_from_cart_count,favorites_add_count,favorites_remove_count,search_count,label_purchase,cart_view_ratio,events_per_second,favorites_ratio,engagement_score
00096267-e11c-491d-81de-6533162e2ea4,408ba49f-1525-461b-b106-160c259f9767,,2026-02-23 20:36:10.827525+00:00,2026-02-23 20:36:24.827525+00:00,14,12,3,0,0,2,0,4,0,0.0,0.8,0.5,5
00184d34-774a-425f-a5b1-b22a53cdc180,85e938fa-4873-4f4a-b758-779b9b5e9f1b,,2026-02-23 20:36:12.840624+00:00,2026-02-23 20:36:26.840624+00:00,14,11,5,1,0,0,0,2,0,0.16666666666666666,0.7333333333333333,0.0,7
003467f4-8f57-48c6-944b-30b6b36e9010,,5208a3d8-9a93-4c70-8849-2ba39cc3ba7e,2026-02-23 20:36:12.638106+00:00,2026-02-23 20:36:23.638106+00:00,11,6,2,0,0,0,0,2,0,0.0,0.5,0.0,2
006b8b0e-2a94-437f-87c6-34a1f744da24,d526355b-3534-452c-bcab-85c938c85cc2,,2026-02-23 20:36:12.734262+00:00,2026-02-23 20:36:22.734262+00:00,10,7,1,0,0,0,0,2,0,0.0,0.6363636363636364,0.0,1
00941784-d945-4266-baab-59ac4a032174,,ef82f0c3-af5e-4c4c-9806-4a15a2c85893,2026-02-23 20:36:12.734917+00:00,2026-02-23 20:36:22.734917+00:00,10,5,2,0,0,0,0,1,0,0.0,0.45454545454545453,0.0,2
00a5a5af-4398-4649-9d08-809ba637af00,,0d8c4427-d38c-4396-8e07-c58e9c18dc2b,2026-02-23 20:36:11.891656+00:00,2026-02-23 20:36:21.891656+00:00,10,5,3,0,0,0,0,0,0,0.0,0.45454545454545453,0.0,3
00a64ece-ab37-4b2d-b4d3-cc5f4d954342,,10ba84fb-b342-47b8-b583-0777a54da398,2026-02-23 20:36:13.681117+00:00,2026-02-23 20:36:24.681117+00:00,11,6,2,0,0,0,0,2,0,0.0,0.5,0.0,2
00f72a3b-2b68-4f2a-b2d9-ad99b16cd426,,bf383611-6b78-48e7-8996-9e2ea9543e64,2026-02-23 20:36:13.362100+00:00,2026-02-23 20:36:25.362100+00:00,12,7,2,0,0,0,0,3,0,0.0,0.5384615384615384,0.0,2
012ce50f-6c21-495e-82ab-e03db62421a4,,fdd76b3c-ec83-493b-91b4-d6fae70ed8f0,2026-02-23 20:36:12.314230+00:00,2026-02-23 20:36:25.314230+00:00,13,8,4,0,0,0,0,2,0,0.0,0.5714285714285714,0.0,4
01cd78de-c495-4cba-9f5b-baca24ffcd82,2e4f55f2-b141-4155-b070-4e737e0522c3,,2026-02-23 20:36:12.734132+00:00,2026-02-23 20:36:23.734132+00:00,11,10,2,3,0,0,0,2,0,1.0,0.8333333333333334,0.0,8
01da3118-39c0-41cd-88a9-a82dae132583,1323d7d8-c797-4b39-affc-ef3816301823,,2026-02-23 20:36:11.999371+00:00,2026-02-23 20:36:24.999371+00:00,13,11,5,1,0,1,0,1,0,0.16666666666666666,0.7857142857142857,0.16666666666666666,8
021cb0c0-585b-4013-a4e4-5d87073d3549,36cb743f-afbe-4946-9ff9-a6d3e22468f5,,2026-02-23 20:36:13.051831+00:00,2026-02-23 20:36:27.051831+00:00,14,13,5,1,0,0,0,2,1,0.16666666666666666,0.8666666666666667,0.0,7
02331b10-25cc-4fef-9e3d-8238deffc870,,64f41591-0814-44d3-8b11-328351598b6c,2026-02-23 20:36:11.045928+00:00,2026-02-23 20:36:21.045928+00:00,10,5,2,0,0,0,0,1,0,0.0,0.45454545454545453,0.0,2
025357b6-f4ca-429f-bc5b-1d9685bb9dab,,b673eb5f-d228-496f-9fad-8e5d8c804024,2026-02-23 20:36:12.939570+00:00,2026-02-23 20:36:27.939570+00:00,15,10,2,0,0,0,0,6,0,0.0,0.625,0.0,2
026046b7-fe4b-4f8c-806f-5c6fc09cce88,65215999-0fd4-4431-a439-18f863cf9b4e,,2026-02-23 20:36:11.483067+00:00,2026-02-23 20:36:23.483067+00:00,12,9,1,0,0,0,0,4,1,0.0,0.6923076923076923,0.0,1
027009c1-ca8b-4912-a875-23d9f16ff51c,,0670a2c5-b488-4248-b6af-1c08c78c267a,2026-02-23 20:36:13.155636+00:00,2026-02-23 20:36:27.155636+00:00,14,9,5,0,0,0,0,2,0,0.0,0.6,0.0,5
02806224-8e7b-49ca-ab49-8503d26657d1,,2037e04f-e394-4b36-b556-e4b09bb6b91d,2026-02-23 20:36:13.263626+00:00,2026-02-23 20:36:26.263626+00:00,13,8,4,0,0,0,0,2,0,0.0,0.5714285714285714,0.0,4
029dd4a2-4230-4292-8f4f-126057281ba4,3da439ad-eaf1-4a27-a584-e8aea66923b5,,2026-02-23 20:36:12.734756+00:00,2026-02-23 20:36:22.734756+00:00,10,7,1,0,0,1,0,2,0,0.0,0.6363636363636364,0.5,2
0317611a-21c5-471c-96d1-b49bdea5a272,18d84f77-5106-4496-aaaf-cfe291bd2cd4,,2026-02-23 20:36:12.208141+00:00,2026-02-23 20:36:22.208141+00:00,10,8,1,1,0,0,0,2,0,0.5,0.7272727272727273,0.0,3
03752d3e-3ad6-4360-b7c5-514a7cf4c5bf,cbf73261-2d2a-4523-94d8-40c8acfbfeea,,2026-02-23 20:36:11.048006+00:00,2026-02-23 20:36:22.048006+00:00,11,9,2,1,0,0,0,2,1,0.3333333333333333,0.75,0.0,4
03c7f0fa-9886-4fcd-b86f-6e7b25c540fa,,4c563f82-0f08-4ef8-af2d-56a4502c5472,2026-02-23 20:36:11.364008+00:00,2026-02-23 20:36:23.364008+00:00,12,7,3,0,0,0,0,2,0,0.0,0.5384615384615384,0.0,3
03fafe3f-f37e-4a1c-8901-852f430206aa,,69b5323e-e80a-48a4-b0ae-c02917598fe2,2026-02-23 20:36:11.890923+00:00,2026-02-23 20:36:23.890923+00:00,12,7,1,0,0,0,0,4,0,0.0,0.5384615384615384,0.0,1
04373ed3-29f2-49c8-9b40-acdd90d2b01e,,c3c8deb3-222f-4923-880d-246ee71ab273,2026-02-23 20:36:10.941957+00:00,2026-02-23 20:36:20.941957+00:00,10,5,2,0,0,0,0,1,0,0.0,0.45454545454545453,0.0,2
0452ae54-1372-4cf4-98e7-8b7a16840fcd,2a413ee8-0d56-4457-a639-f6857bd5cd85,,2026-02-23 20:36:11.584264+00:00,2026-02-23 20:36:26.584264+00:00,15,17,4,2,0,3,0,4,1,0.4,1.0625,0.6,11
046565d2-e49b-435e-bc30-35c4fe82bd3a,2377ab5f-4ccd-4f5e-8190-1a763f317093,,2026-02-23 20:36:12.836802+00:00,2026-02-23 20:36:24.836802+00:00,12,8,3,0,0,0,0,2,0,0.0,0.6153846153846154,0.0,3
046bc664-8878-430b-8f28-dbde813b3ed6,,2e44365d-7f04-49b2-88a6-341cb08ec9a6,2026-02-23 20:36:12.837605+00:00,2026-02-23 20:36:24.837605+00:00,12,7,3,0,0,0,0,2,0,0.0,0.5384615384615384,0.0,3
0476e5ff-9529-4f17-bc9b-4b97ce0886d3,,79ffd7f0-5f71-4245-83c2-8357a8f3c4bd,2026-02-23 20:36:11.151179+00:00,2026-02-23 20:36:24.151179+00:00,13,8,3,0,0,0,0,3,0,0.0,0.5714285714285714,0.0,3
04d81428-8ec8-41f2-b228-72e5b9454d41,,b9e96d54-517d-4786-9a8e-6f74f94acddb,2026-02-23 20:36:11.045509+00:00,2026-02-23 20:36:26.045509+00:00,15,10,3,0,0,0,0,5,0,0.0,0.625,0.0,3
04da8634-2f6c-48b5-8987-865d8bf195a6,,fe1c9d65-301e-4ec7-ab42-7de7f61632c7,2026-02-23 20:36:12.541216+00:00,2026-02-23 20:36:27.541216+00:00,15,10,2,0,0,0,0,6,0,0.0,0.625,0.0,2
05a3a44d-aee9-468a-aa89-54390146c805,,2cf8fdf6-57de-4084-b401-1ec8fb3fdd45,2026-02-23 20:36:12.638399+00:00,2026-02-23 20:36:24.638399+00:00,12,7,1,0,0,0,0,4,0,0.0,0.5384615384615384,0.0,1
05f5822e-7b6b-4351-8ad5-8a650a7a7898,c75a4121-e09d-43d2-87ee-ac358bb0d403,,2026-02-23 20:36:11.788494+00:00,2026-02-23 20:36:21.788494+00:00,10,7,3,0,0,1,0,0,0,0.0,0.6363636363636364,0.25,4
061dbf4b-555b-42a6-a870-633df57f8f4f,2e4f55f2-b141-4155-b070-4e737e0522c3,,2026-02-23 20:36:12.100340+00:00,2026-02-23 20:36:27.100340+00:00,15,16,5,2,0,2,0,3,0,0.3333333333333333,1.0,0.3333333333333333,11
063bacb5-1841-4845-b3da-1d33698ca1ac,,ce3bebc8-2a79-470c-af7c-cbb464bc8240,2026-02-23 20:36:12.940633+00:00,2026-02-23 20:36:24.940633+00:00,12,7,5,0,0,0,0,0,0,0.0,0.5384615384615384,0.0,5
064aea20-3e19-4b80-b2e4-0db7f99ac12b,c7230825-d7d7-4371-b46b-e73bdc8967a7,,2026-02-23 20:36:12.443304+00:00,2026-02-23 20:36:26.443304+00:00,14,15,3,2,0,3,0,4,0,0.5,1.0,0.75,10
06999391-cb33-42d9-bb27-1d21a26d0258,,94953bf1-32b5-4e84-a643-3587e425f027,2026-02-23 20:36:11.893117+00:00,2026-02-23 20:36:24.893117+00:00,13,8,1,0,0,0,0,5,0,0.0,0.5714285714285714,0.0,1
069f1a0e-77fc-4296-a161-01fb464d3b52,6b5906b6-8dc7-4af1-8dae-7faeac11e74a,,2026-02-23 20:36:11.585958+00:00,2026-02-23 20:36:26.585958+00:00,15,13,4,2,0,0,0,4,0,0.4,0.8125,0.0,8
06c9311d-2a2f-4f1e-841c-0c7dd7959ac8,,fb297209-72ef-438c-9a78-9fa1ba50b0b5,2026-02-23 20:36:12.942642+00:00,2026-02-23 20:36:24.942642+00:00,12,7,2,0,0,0,0,3,0,0.0,0.5384615384615384,0.0,2
06d16898-0485-4116-bec2-81937149b35a,348eb883-f742-4815-9134-bed7d247fe3e,,2026-02-23 20:36:12.442839+00:00,2026-02-23 20:36:24.442839+00:00,12,10,2,1,0,1,0,3,0,0.3333333333333333,0.7692307692307693,0.3333333333333333,5
07124f7c-e5d7-43e2-9cfd-921529317fa5,b7ba5a02-c841-439c-be84-0f1283ff2057,,2026-02-23 20:36:12.103635+00:00,2026-02-23 20:36:26.103635+00:00,14,12,4,1,0,0,0,3,1,0.2,0.8,0.0,6
07333207-446a-41b9-81e4-549a3ff21448,,3f447213-30fe-4234-b7a2-e1aa3bc0b727,2026-02-23 20:36:12.639743+00:00,2026-02-23 20:36:26.639743+00:00,14,9,3,0,0,0,0,4,0,0.0,0.6,0.0,3
07648882-b057-4421-8c33-37416b1721ee,2377ab5f-4ccd-4f5e-8190-1a763f317093,,2026-02-23 20:36:12.103005+00:00,2026-02-23 20:36:23.103005+00:00,11,9,3,0,0,2,0,1,0,0.0,0.75,0.5,5
07d8b3f1-e02a-4f54-b472-14f7b2c14be1,,56d0c1c8-1ee2-4ebb-88a0-d6c6e24530e7,2026-02-23 20:36:13.364418+00:00,2026-02-23 20:36:28.364418+00:00,15,10,4,0,0,0,0,4,0,0.0,0.625,0.0,4
0864ba8a-b5a5-4c75-8962-afeddcc40add,,319f8237-116e-451a-8ae4-8826aa44dc0a,2026-02-23 20:36:12.440071+00:00,2026-02-23 20:36:22.440071+00:00,10,5,3,0,0,0,0,0,0,0.0,0.45454545454545453,0.0,3
08b77c13-5745-4fb1-a1ec-2e9b07ce09fc,,965e0f6b-6b14-4466-b081-d752a070f19e,2026-02-23 20:36:13.581401+00:00,2026-02-23 20:36:27.581401+00:00,14,9,4,0,0,0,0,3,0,0.0,0.6,0.0,4
