session_id,user_id,anonymous_id,session_start,session_end,events_count,session_duration_seconds,event_rate,product_views,add_to_cart_count,remove_from_cart_count,favorites_add_count,search_count,label_purchase,unique_products_viewed,repeat_views,top_product_view_ratio,avg_time_between_events,time_to_first_cart,cart_view_ratio,favorites_ratio,cart_remove_ratio,has_added_to_cart,has_favorited,has_searched,view_to_cart_transition,view_to_cart_transition_rate,cart_cycles
00214755-1572-4fd1-8f91-6b980661c425,cf229058-d6d4-4a13-975b-179cf0bfb43a,,2026-03-07 11:02:58.058830+00:00,2026-03-07 11:03:55.058830+00:00,18,57.0,0.3157894736842105,9,1,1,1,3,0,6,6,0.2222222222222222,3.3529411764705883,48.0,0.1111111111111111,0.1111111111111111,1.0,1,1,1,1,0.1111111111111111,1
01e7f545-8533-4b6b-b24a-dc81a514fa47,4771b60e-16e5-440a-b9d9-0608c3cb264a,,2026-03-14 18:02:58.058830+00:00,2026-03-14 18:04:58.058830+00:00,19,120.0,0.15833333333333333,9,1,1,1,5,0,8,4,0.21052631578947367,6.666666666666667,81.0,0.1111111111111111,0.1111111111111111,1.0,1,1,1,1,0.1111111111111111,1
01f66158-1f18-42ee-aaa4-305c086d1907,98ad7fbb-5993-4734-8d36-8e0450ca8840,,2026-03-05 13:02:58.058830+00:00,2026-03-05 13:04:48.058830+00:00,21,110.0,0.19090909090909092,9,6,0,1,2,0,6,10,0.23809523809523808,5.5,5.0,0.6666666666666666,0.1111111111111111,0.0,1,1,1,5,0.5555555555555556,0
01f8859b-5f17-400f-8cc1-e0ac37240241,,b414ec4c-d783-4afa-bcbc-8365ef3df105,2026-03-04 19:02:58.058830+00:00,2026-03-04 19:04:06.058830+00:00,19,68.0,0.27941176470588236,9,0,0,1,7,0,9,1,0.10526315789473684,3.7777777777777777,,0.0,0.1111111111111111,0.0,0,1,1,0,0.0,0
0204365f-4b23-48ae-a4df-1a7ac419c8a9,,26379478-6f53-49d9-9a72-4265ba8234c0,2026-03-07 18:02:58.058830+00:00,2026-03-07 18:04:32.058830+00:00,21,94.0,0.22340425531914893,8,4,3,1,3,0,6,10,0.3333333333333333,4.7,3.0,0.5,0.125,0.75,1,1,1,3,0.375,3
020ee88b-33fa-4167-9658-c0ae3218c820,1207f950-f89e-405a-a81a-1bede4a50f10,,2026-03-10 03:02:58.058830+00:00,2026-03-10 03:04:05.058830+00:00,10,67.0,0.14925373134328357,2,2,1,1,0,1,2,5,0.4,7.444444444444445,36.0,1.0,0.5,0.5,1,1,0,1,0.5,1
031ca62a-4e1b-45a7-b120-7780d5e47ff2,fdc42cba-32f1-43e4-80d3-d23e806b310f,,2026-03-12 20:02:58.058830+00:00,2026-03-12 20:03:34.058830+00:00,9,36.0,0.25,4,0,0,1,2,0,4,1,0.2222222222222222,4.5,,0.0,0.25,0.0,0,1,1,0,0.0,0
03a6900f-2ad4-4ef1-a5e3-f63205e42437,4771b60e-16e5-440a-b9d9-0608c3cb264a,,2026-03-11 02:02:58.058830+00:00,2026-03-11 02:04:48.058830+00:00,22,110.0,0.2,9,2,0,1,6,0,8,4,0.18181818181818182,5.238095238095238,17.0,0.2222222222222222,0.1111111111111111,0.0,1,1,1,1,0.1111111111111111,0
041fafd4-5c96-46b0-8321-78fdb8a1ca31,,5cca7d40-4c3f-4f50-a091-b6d2be754be4,2026-03-14 20:02:58.058830+00:00,2026-03-14 20:04:08.058830+00:00,19,70.0,0.2714285714285714,8,1,1,1,6,0,8,3,0.15789473684210525,3.888888888888889,11.0,0.125,0.125,1.0,1,1,1,1,0.125,1
04300aa7-39d9-459a-9235-b5e118dbe18f,,8df33855-cec8-41b4-bb19-0f3aa16f6f6a,2026-03-06 08:02:58.058830+00:00,2026-03-06 08:04:35.058830+00:00,18,97.0,0.18556701030927836,9,0,0,0,7,0,7,2,0.1111111111111111,5.705882352941177,,0.0,0.0,0.0,0,0,1,0,0.0,0
